"cd4","cd8b","cd3","cd8","leaf.code","cluster.id","in.core"
308,220,157,339,32,1,0
319,271,223,350,66,2,0
215,148,119,221,32,1,0
104,49,284,178,9,3,0
262,167,144,156,66,2,0
423,97,344,113,9,3,1
236,214,141,209,67,4,1
258,82,253,205,9,3,1
286,128,172,220,66,2,0
169,289,224,537,7,5,0
190,108,114,175,32,1,0
115,151,53,142,32,1,0
271,119,132,232,32,1,0
235,189,165,254,67,4,0
232,195,176,133,67,4,0
168,463,388,665,7,5,1
211,126,30,95,32,1,0
414,45,277,184,9,3,0
200,98,194,178,32,1,0
73,234,63,85,32,1,0
299,210,86,222,32,1,0
315,30,258,120,9,3,1
325,18,344,103,9,3,0
231,230,133,248,32,1,0
225,69,14,102,32,1,0
335,227,315,129,67,4,0
187,5,26,121,32,1,0
194,164,90,113,32,1,0
208,208,152,167,67,4,0
235,163,81,118,32,1,0
209,156,161,102,66,2,0
304,193,131,188,66,2,0
120,72,34,261,32,1,0
105,45,142,184,32,1,0
207,120,88,113,32,1,0
223,175,125,108,66,2,0
263,100,110,144,32,1,0
232,151,135,204,32,1,0
263,129,156,75,66,2,0
120,149,52,179,32,1,0
103,105,511,130,9,3,0
189,129,149,144,32,1,0
78,348,301,611,7,5,0
47,61,86,272,32,1,0
151,102,50,154,32,1,0
228,139,32,129,32,1,0
264,146,145,250,66,2,0
316,175,149,171,66,2,0
146,126,14,285,32,1,0
234,37,126,202,32,1,0
215,154,107,185,32,1,0
246,78,93,117,32,1,0
275,183,92,239,32,1,0
236,162,109,150,32,1,0
237,9,226,214,9,3,0
275,155,159,113,66,2,0
234,179,140,238,66,2,0
215,176,172,100,66,2,0
308,212,128,192,66,2,0
234,173,63,192,32,1,0
272,166,103,154,32,1,0
276,209,152,142,67,4,0
338,199,129,104,67,4,0
326,108,301,164,9,3,1
318,69,213,197,66,2,0
221,202,131,190,32,1,0
125,61,402,525,7,5,0
280,147,92,71,32,1,0
192,120,18,564,5,6,0
291,113,234,64,9,3,0
272,153,173,154,67,4,0
112,38,124,195,32,1,0
260,183,116,242,32,1,0
271,81,165,154,66,2,0
194,174,113,153,32,1,0
133,442,204,718,7,5,0
295,167,106,195,32,1,0
249,152,11,126,32,1,0
232,159,123,114,66,2,0
282,213,91,278,32,1,0
238,173,205,182,67,4,0
326,81,302,121,9,3,1
82,39,50,140,32,1,0
308,228,190,154,66,2,0
386,105,249,172,9,3,0
284,143,88,91,32,1,0
106,329,325,491,7,5,0
106,351,173,607,7,5,1
188,333,189,583,7,5,0
217,201,122,157,32,1,0
354,25,295,170,9,3,0
239,179,74,176,32,1,1
315,114,302,181,9,3,1
141,130,439,252,9,3,0
61,17,26,97,32,1,0
308,218,65,71,32,1,0
72,129,140,416,5,6,0
364,104,255,2,9,3,0
194,147,84,101,32,1,0
70,7,18,58,32,1,0
125,38,83,411,5,6,1
178,156,175,110,66,2,0
296,91,126,156,66,2,0
233,157,166,95,66,2,0
92,61,24,65,32,1,0
140,390,282,680,7,5,1
316,162,90,226,32,1,0
68,80,485,224,9,3,0
202,51,122,143,32,1,0
36,95,11,460,5,6,0
118,33,28,180,32,1,0
81,62,62,59,32,1,0
152,69,52,217,32,1,0
408,75,385,12,9,3,0
236,1,306,129,9,3,0
217,156,140,175,32,1,0
182,295,190,578,7,5,0
105,403,402,583,7,5,0
101,81,100,61,32,1,0
365,85,263,87,9,3,1
132,443,337,659,7,5,1
208,129,160,165,32,1,0
252,201,168,103,66,2,0
257,189,58,129,32,1,0
89,133,62,197,32,1,0
119,53,96,87,32,1,0
292,92,301,53,9,3,0
125,50,11,204,32,1,0
195,209,84,147,32,1,0
256,157,140,111,66,2,0
292,110,254,145,9,3,1
250,84,265,155,9,3,1
152,92,15,175,32,1,0
396,2,233,196,9,3,0
131,61,99,165,32,1,0
264,70,160,137,66,2,0
331,9,304,52,9,3,0
292,110,266,56,9,3,0
230,319,171,616,7,5,0
299,128,128,145,66,2,0
254,155,90,224,32,1,0
386,101,262,119,9,3,0
230,161,72,238,32,1,0
257,101,40,178,32,1,0
229,71,263,140,9,3,1
359,126,281,179,9,3,1
234,162,148,64,66,2,0
313,85,220,557,5,6,0
394,141,244,190,9,3,0
95,21,15,237,32,1,0
212,174,107,268,32,1,0
115,424,214,681,7,5,1
77,276,292,682,7,5,0
186,82,14,399,5,6,0
247,118,15,149,32,1,0
124,94,395,268,9,3,0
183,52,50,380,5,6,0
389,95,348,224,9,3,1
466,60,480,130,9,3,0
75,81,47,193,32,1,0
118,21,293,40,9,3,0
231,158,111,180,32,1,1
249,134,139,83,66,2,0
234,188,157,197,67,4,0
120,61,461,137,9,3,0
197,198,139,136,32,1,0
202,163,136,93,66,2,0
114,67,113,530,5,6,0
19,290,353,656,7,5,0
254,91,87,112,32,1,0
192,265,42,155,32,1,0
70,20,420,569,7,5,0
239,191,64,231,32,1,0
282,101,279,184,9,3,1
224,71,130,42,66,2,0
135,405,256,670,7,5,1
195,130,52,177,32,1,0
110,460,342,676,7,5,0
385,139,399,122,9,3,0
208,128,37,133,32,1,0
248,203,108,273,32,1,0
416,80,423,58,9,3,0
229,39,150,162,32,1,0
148,145,253,584,5,6,0
143,218,321,548,7,5,0
137,298,176,635,7,5,1
116,119,153,677,5,6,0
188,132,120,190,32,1,0
194,135,27,72,32,1,0
388,106,370,224,9,3,1
140,62,235,44,66,2,0
143,92,118,82,32,1,0
134,376,324,657,7,5,1
283,61,193,306,66,2,0
355,50,223,80,9,3,0
116,41,360,651,5,6,0
267,198,100,168,32,1,0
121,77,413,425,5,6,0
252,173,125,213,32,1,1
281,306,238,376,66,2,0
363,400,327,398,17,7,0
366,365,275,374,17,7,0
223,280,241,224,67,4,0
199,296,236,225,67,4,0
358,368,281,375,17,7,0
462,355,332,324,17,7,0
259,315,481,236,66,2,0
243,197,303,8,67,4,0
470,321,442,369,17,7,0
312,247,261,297,66,2,0
447,485,431,636,6,8,1
238,108,122,69,66,2,0
412,333,279,441,17,7,0
414,492,388,660,6,8,1
368,319,278,366,17,7,0
277,123,73,32,32,1,0
224,159,146,156,32,1,0
249,197,165,186,67,4,0
450,301,417,416,17,7,0
128,421,245,644,7,5,1
278,217,213,365,66,2,0
472,417,486,422,17,7,0
301,312,244,579,6,8,0
327,277,224,326,66,2,0
223,203,127,131,32,1,0
464,390,398,687,6,8,0
243,246,119,304,32,1,0
111,54,37,97,32,1,0
255,150,89,133,32,1,0
255,214,137,232,32,1,1
195,145,133,108,66,2,0
371,288,235,285,17,7,1
359,263,217,223,66,2,0
249,123,116,86,66,2,0
419,318,173,393,17,7,0
310,239,162,308,32,1,0
461,149,393,206,66,2,0
322,239,178,261,17,7,1
179,162,74,499,5,6,1
550,381,466,628,6,8,0
473,60,389,60,9,3,0
504,470,505,733,6,8,0
449,430,448,723,6,8,1
482,497,365,696,6,8,1
377,331,340,453,17,7,0
480,354,327,487,17,7,0
361,296,219,277,17,7,1
256,93,311,70,9,3,0
429,464,378,778,6,8,1
181,83,94,75,32,1,0
251,112,75,142,32,1,0
204,208,100,290,32,1,0
168,123,35,456,5,6,1
396,358,312,541,17,7,0
294,251,204,240,66,2,0
386,36,305,116,9,3,0
123,64,64,159,32,1,0
388,328,279,332,17,7,1
321,434,285,649,6,8,1
101,403,276,652,7,5,1
185,426,299,681,7,5,1
400,340,269,422,17,7,0
377,315,234,334,17,7,1
465,353,396,232,17,7,0
391,256,442,216,17,7,0
422,357,336,669,6,8,0
568,406,478,480,17,7,0
354,297,249,265,66,2,0
284,263,186,364,66,2,0
424,188,396,456,17,7,0
71,456,386,686,7,5,0
480,324,420,310,17,7,0
286,287,228,292,66,2,0
549,363,421,344,17,7,0
213,207,112,115,32,1,0
93,140,93,129,32,1,0
348,308,263,309,17,7,0
495,329,403,329,17,7,0
219,160,81,137,32,1,0
410,474,350,666,6,8,1
315,136,97,178,32,1,0
449,347,377,359,17,7,0
237,127,175,219,66,2,0
251,165,87,217,32,1,1
210,192,147,233,32,1,0
156,134,286,250,67,4,0
200,180,136,262,32,1,0
445,357,347,360,17,7,0
451,329,272,332,17,7,0
516,513,479,685,6,8,1
110,70,68,6,32,1,0
350,325,295,315,17,7,0
292,208,176,223,32,1,1
264,227,212,205,67,4,0
286,224,144,177,66,2,0
551,454,455,725,6,8,0
139,105,67,158,32,1,0
278,149,142,150,66,2,0
358,303,268,351,17,7,0
430,525,399,725,6,8,1
288,273,132,186,32,1,0
462,538,401,750,6,8,1
369,116,250,155,9,3,0
245,215,93,225,32,1,1
245,159,160,213,66,2,0
503,597,511,782,6,8,0
31,6,90,305,32,1,0
309,220,93,202,32,1,0
417,246,322,235,17,7,0
336,286,246,292,66,2,0
254,185,53,91,32,1,0
365,269,186,287,66,2,0
357,321,295,358,17,7,0
283,82,232,214,9,3,1
377,263,172,261,17,7,0
490,325,469,584,6,8,0
520,372,421,326,17,7,0
446,323,487,439,17,7,0
188,219,17,274,32,1,0
253,218,157,176,67,4,1
88,6,105,40,32,1,0
