cd4,cd8b,cd3,cd8
308,220,157,339
319,271,223,350
215,148,119,221
104,49,284,178
262,167,144,156
423,97,344,113
236,214,141,209
258,82,253,205
286,128,172,220
169,289,224,537
190,108,114,175
115,151,53,142
271,119,132,232
235,189,165,254
232,195,176,133
168,463,388,665
211,126,30,95
414,45,277,184
200,98,194,178
73,234,63,85
299,210,86,222
315,30,258,120
325,18,344,103
231,230,133,248
225,69,14,102
335,227,315,129
187,5,26,121
194,164,90,113
208,208,152,167
235,163,81,118
209,156,161,102
304,193,131,188
120,72,34,261
105,45,142,184
207,120,88,113
223,175,125,108
263,100,110,144
232,151,135,204
263,129,156,75
120,149,52,179
103,105,511,130
189,129,149,144
78,348,301,611
47,61,86,272
151,102,50,154
228,139,32,129
264,146,145,250
316,175,149,171
146,126,14,285
234,37,126,202
215,154,107,185
246,78,93,117
275,183,92,239
236,162,109,150
237,9,226,214
275,155,159,113
234,179,140,238
215,176,172,100
308,212,128,192
234,173,63,192
272,166,103,154
276,209,152,142
338,199,129,104
326,108,301,164
318,69,213,197
221,202,131,190
125,61,402,525
280,147,92,71
192,120,18,564
291,113,234,64
272,153,173,154
112,38,124,195
260,183,116,242
271,81,165,154
194,174,113,153
133,442,204,718
295,167,106,195
249,152,11,126
232,159,123,114
282,213,91,278
238,173,205,182
326,81,302,121
82,39,50,140
308,228,190,154
386,105,249,172
284,143,88,91
106,329,325,491
106,351,173,607
188,333,189,583
217,201,122,157
354,25,295,170
239,179,74,176
315,114,302,181
141,130,439,252
61,17,26,97
308,218,65,71
72,129,140,416
364,104,255,2
194,147,84,101
70,7,18,58
125,38,83,411
178,156,175,110
296,91,126,156
233,157,166,95
92,61,24,65
140,390,282,680
316,162,90,226
68,80,485,224
202,51,122,143
36,95,11,460
118,33,28,180
81,62,62,59
152,69,52,217
408,75,385,12
236,1,306,129
217,156,140,175
182,295,190,578
105,403,402,583
101,81,100,61
365,85,263,87
132,443,337,659
208,129,160,165
252,201,168,103
257,189,58,129
89,133,62,197
119,53,96,87
292,92,301,53
125,50,11,204
195,209,84,147
256,157,140,111
292,110,254,145
250,84,265,155
152,92,15,175
396,2,233,196
131,61,99,165
264,70,160,137
331,9,304,52
292,110,266,56
230,319,171,616
299,128,128,145
254,155,90,224
386,101,262,119
230,161,72,238
257,101,40,178
229,71,263,140
359,126,281,179
234,162,148,64
313,85,220,557
394,141,244,190
95,21,15,237
212,174,107,268
115,424,214,681
77,276,292,682
186,82,14,399
247,118,15,149
124,94,395,268
183,52,50,380
389,95,348,224
466,60,480,130
75,81,47,193
118,21,293,40
231,158,111,180
249,134,139,83
234,188,157,197
120,61,461,137
197,198,139,136
202,163,136,93
114,67,113,530
19,290,353,656
254,91,87,112
192,265,42,155
70,20,420,569
239,191,64,231
282,101,279,184
224,71,130,42
135,405,256,670
195,130,52,177
110,460,342,676
385,139,399,122
208,128,37,133
248,203,108,273
416,80,423,58
229,39,150,162
148,145,253,584
143,218,321,548
137,298,176,635
116,119,153,677
188,132,120,190
194,135,27,72
388,106,370,224
140,62,235,44
143,92,118,82
134,376,324,657
283,61,193,306
355,50,223,80
116,41,360,651
267,198,100,168
121,77,413,425
252,173,125,213
281,306,238,376
363,400,327,398
366,365,275,374
223,280,241,224
199,296,236,225
358,368,281,375
462,355,332,324
259,315,481,236
243,197,303,8
470,321,442,369
312,247,261,297
447,485,431,636
238,108,122,69
412,333,279,441
414,492,388,660
368,319,278,366
277,123,73,32
224,159,146,156
249,197,165,186
450,301,417,416
128,421,245,644
278,217,213,365
472,417,486,422
301,312,244,579
327,277,224,326
223,203,127,131
464,390,398,687
243,246,119,304
111,54,37,97
255,150,89,133
255,214,137,232
195,145,133,108
371,288,235,285
359,263,217,223
249,123,116,86
419,318,173,393
310,239,162,308
461,149,393,206
322,239,178,261
179,162,74,499
550,381,466,628
473,60,389,60
504,470,505,733
449,430,448,723
482,497,365,696
377,331,340,453
480,354,327,487
361,296,219,277
256,93,311,70
429,464,378,778
181,83,94,75
251,112,75,142
204,208,100,290
168,123,35,456
396,358,312,541
294,251,204,240
386,36,305,116
123,64,64,159
388,328,279,332
321,434,285,649
101,403,276,652
185,426,299,681
400,340,269,422
377,315,234,334
465,353,396,232
391,256,442,216
422,357,336,669
568,406,478,480
354,297,249,265
284,263,186,364
424,188,396,456
71,456,386,686
480,324,420,310
286,287,228,292
549,363,421,344
213,207,112,115
93,140,93,129
348,308,263,309
495,329,403,329
219,160,81,137
410,474,350,666
315,136,97,178
449,347,377,359
237,127,175,219
251,165,87,217
210,192,147,233
156,134,286,250
200,180,136,262
445,357,347,360
451,329,272,332
516,513,479,685
110,70,68,6
350,325,295,315
292,208,176,223
264,227,212,205
286,224,144,177
551,454,455,725
139,105,67,158
278,149,142,150
358,303,268,351
430,525,399,725
288,273,132,186
462,538,401,750
369,116,250,155
245,215,93,225
245,159,160,213
503,597,511,782
31,6,90,305
309,220,93,202
417,246,322,235
336,286,246,292
254,185,53,91
365,269,186,287
357,321,295,358
283,82,232,214
377,263,172,261
490,325,469,584
520,372,421,326
446,323,487,439
188,219,17,274
253,218,157,176
88,6,105,40
173,133,154,9
476,379,391,530
345,286,193,316
269,189,78,119
363,350,262,319
265,211,177,250
286,191,165,168
129,83,368,462
289,157,151,81
388,285,215,281
426,261,188,284
259,215,115,338
305,383,350,687
509,471,612,660
278,211,183,148
263,158,97,66
409,301,279,289
278,182,161,145
441,250,377,233
472,403,350,391
156,55,46,115
434,376,334,426
344,369,416,194
237,169,98,60
355,295,232,307
444,375,353,706
234,71,217,170
270,283,494,180
372,261,252,204
557,622,512,805
198,165,140,245
285,240,179,228
267,171,83,343
381,333,247,360
365,334,247,315
342,225,147,288
215,235,111,176
272,192,180,129
264,149,134,141
300,308,237,358
343,292,123,284
445,389,320,447
550,377,434,291
294,203,123,196
408,380,262,603
521,586,508,817
505,400,473,552
479,447,482,755
429,345,294,355
481,439,424,625
519,507,482,726
448,426,355,716
432,375,479,348
268,272,122,322
276,225,148,226
349,374,284,741
232,201,180,323
261,351,249,630
336,220,253,248
313,276,188,258
303,379,282,655
247,209,192,210
349,254,150,267
561,339,493,388
617,299,580,186
393,455,359,738
396,346,292,324
325,313,248,278
327,262,223,246
320,278,128,246
183,156,84,155
477,390,315,382
258,253,99,186
365,260,222,208
463,472,424,675
326,152,151,157
350,271,246,360
438,371,340,705
232,164,166,131
292,221,160,162
128,6,16,183
330,287,218,382
239,148,50,64
387,368,261,410
242,147,162,210
452,375,327,355
353,197,200,195
358,251,159,178
418,343,274,333
330,302,166,307
87,20,61,568
94,60,49,9
207,141,80,62
442,404,329,374
460,398,369,388
336,315,252,328
191,178,111,211
386,335,274,338
417,439,295,722
327,491,376,658
394,304,249,340
334,61,283,184
310,295,236,310
225,107,127,231
407,327,294,339
235,159,103,76
432,491,404,762
409,314,249,335
312,301,232,343
470,525,468,736
548,383,505,676
331,265,227,253
496,332,443,279
431,364,448,332
363,341,271,389
572,359,501,315
282,248,178,265
215,112,106,85
413,355,383,412
418,492,418,752
241,189,138,181
336,389,320,253
341,308,561,290
318,422,271,645
512,390,414,303
475,5,426,152
376,298,271,261
351,445,356,696
426,339,288,437
475,227,348,227
346,275,211,258
394,367,313,280
362,256,139,270
303,257,235,207
275,101,124,187
375,337,264,292
315,184,201,117
448,429,349,631
399,263,534,367
491,305,397,298
420,300,264,301
484,461,405,708
346,391,272,634
327,377,153,628
419,454,340,699
394,286,276,292
125,106,100,544
521,499,505,770
234,146,62,193
302,277,185,295
363,316,285,584
434,377,401,759
459,336,410,361
500,218,363,251
403,506,435,716
505,319,454,214
451,289,316,493
148,115,101,378
236,234,164,601
239,197,110,149
334,271,228,266
220,220,145,230
451,512,453,764
480,302,366,295
226,195,126,214
384,249,383,302
345,417,316,718
567,473,525,661
250,182,168,174
283,235,186,198
485,291,465,194
343,284,238,266
376,499,384,736
430,503,332,714
224,169,103,216
211,149,188,127
326,242,241,144
321,309,258,262
408,318,242,297
281,215,121,218
75,388,304,620
408,126,296,88
207,195,24,227
230,225,225,493
306,211,151,244
333,418,275,715
407,332,303,320
515,483,454,620
375,381,308,564
267,231,204,214
421,317,471,392
244,238,198,288
353,443,351,774
288,378,256,550
434,290,297,273
366,291,267,273
248,179,143,58
467,363,281,342
107,88,87,331
547,555,469,727
309,206,191,282
57,431,347,627
383,268,232,346
536,370,431,362
506,354,443,285
467,615,522,810
204,95,8,176
479,512,399,675
555,364,466,294
431,552,459,808
467,383,338,395
100,89,62,557
42,87,76,304
519,427,451,656
230,234,207,314
256,102,137,251
205,247,48,592
334,291,211,339
291,278,226,268
291,265,196,283
297,348,257,625
257,207,98,478
75,118,21,315
501,329,380,255
521,594,536,752
247,124,143,67
362,199,341,258
296,225,208,293
268,388,278,618
131,38,360,194
333,269,165,303
465,312,402,326
129,282,364,742
324,162,172,240
495,292,523,217
363,381,255,426
333,265,227,284
506,557,486,768
285,224,126,198
455,349,233,324
357,294,209,299
409,321,271,252
439,377,311,319
117,28,103,271
233,183,193,100
222,129,27,130
257,249,145,202
315,446,305,658
411,357,416,326
381,453,325,666
415,357,248,370
321,242,181,272
442,426,330,655
100,187,176,587
473,376,363,331
268,209,114,190
388,406,344,717
429,364,264,346
80,10,80,62
449,635,563,756
401,330,294,324
466,366,424,678
383,449,368,748
303,203,200,268
399,241,220,265
329,334,280,443
361,284,236,339
331,475,347,697
151,24,101,206
299,138,362,201
283,198,118,246
438,319,283,316
246,214,68,350
63,35,345,188
254,203,86,169
512,545,492,815
203,151,56,140
371,297,208,302
415,460,423,621
327,229,40,257
389,292,256,314
346,310,234,283
239,218,390,251
321,275,204,307
135,310,275,600
477,460,446,660
399,279,208,256
322,281,137,316
537,408,418,360
309,282,223,289
382,471,459,556
102,43,29,401
241,175,148,155
384,319,209,642
376,280,138,257
228,109,140,12
132,145,162,630
122,139,50,474
175,169,96,563
293,271,161,301
383,450,354,656
258,371,250,625
300,242,207,199
266,234,184,226
256,196,88,222
483,470,355,707
327,274,234,159
450,405,423,713
373,320,259,320
259,242,153,238
323,156,88,204
351,370,303,617
378,496,455,600
370,449,358,761
398,312,235,405
472,325,317,346
233,69,150,226
402,270,398,285
360,183,296,273
313,285,204,315
129,94,15,212
158,155,79,201
360,292,223,436
384,394,364,525
222,163,157,189
332,305,236,246
285,171,204,188
269,240,172,238
388,229,370,244
190,188,89,189
169,209,172,275
137,184,116,521
395,554,475,752
311,205,133,189
276,437,231,630
427,281,362,191
338,298,254,287
233,181,145,139
329,280,154,271
310,301,220,337
473,362,370,306
406,368,334,439
486,352,419,316
314,248,210,181
302,128,120,239
305,257,77,247
283,184,196,263
524,572,522,702
436,446,332,673
284,216,439,250
244,177,93,118
278,243,190,247
225,108,93,232
330,202,225,235
239,177,119,198
143,421,288,645
276,168,98,242
339,263,183,284
211,155,91,202
243,182,145,236
274,204,163,36
265,160,121,240
370,312,283,337
342,433,360,705
519,494,453,646
235,216,190,99
431,325,238,294
310,278,222,285
328,233,167,237
292,168,107,229
317,261,166,262
374,371,271,429
315,262,225,272
469,200,457,307
127,134,28,651
424,390,349,212
464,354,367,351
430,62,388,1
315,196,194,605
381,427,304,644
387,297,251,287
356,331,264,409
342,285,246,234
399,298,142,283
501,361,446,353
311,281,201,285
184,163,66,372
361,265,213,248
269,235,123,189
167,100,28,649
462,447,392,655
289,170,47,255
78,74,33,158
226,134,124,243
478,370,410,353
343,350,313,615
307,276,191,277
103,282,308,653
401,382,299,294
360,398,331,648
220,59,266,135
419,285,316,645
315,243,226,255
234,163,179,165
232,237,176,278
364,278,166,291
241,242,153,206
290,263,64,237
462,314,509,707
375,320,264,320
311,78,287,188
353,466,308,693
428,51,476,161
459,340,363,314
315,304,284,14
361,238,201,258
345,481,364,734
311,152,212,559
334,175,155,244
344,265,210,296
398,355,290,410
365,308,259,337
290,195,172,201
269,216,43,150
356,251,151,249
549,421,438,463
280,229,222,264
402,348,261,383
280,213,99,247
242,127,133,221
295,227,159,260
393,280,266,252
151,109,4,248
131,104,14,188
285,181,145,229
401,39,320,213
268,183,124,202
138,150,381,407
229,208,170,213
364,126,335,144
247,193,246,173
299,194,174,112
487,298,418,251
397,278,256,366
324,262,171,255
330,270,224,265
270,245,165,58
321,292,244,296
439,354,269,371
108,332,59,430
454,394,347,428
355,218,334,587
164,148,75,523
258,232,200,78
429,482,414,681
483,367,371,430
479,447,501,632
333,389,309,669
165,40,76,295
319,263,230,300
379,549,405,787
397,555,406,839
217,139,146,184
277,121,125,246
277,225,172,285
374,325,319,527
248,220,189,374
265,227,150,64
221,135,110,149
221,198,123,230
407,300,234,273
210,151,120,260
246,127,143,257
142,317,239,700
438,42,351,225
378,143,304,198
282,213,166,292
437,244,394,270
234,194,218,245
167,55,30,368
345,274,200,257
227,202,131,100
237,196,102,130
464,388,376,434
140,141,16,406
274,83,155,133
338,268,265,287
281,235,203,170
297,152,90,155
215,72,179,109
290,301,230,225
490,354,395,292
257,219,92,190
306,164,155,201
154,147,137,248
318,267,172,553
267,148,157,177
313,255,165,310
485,422,414,638
316,258,261,311
178,184,123,214
213,144,112,44
276,144,26,109
419,315,229,292
166,55,22,458
494,448,520,610
270,179,131,119
257,192,91,234
289,228,163,284
359,281,207,181
261,105,213,235
268,221,113,293
254,95,151,176
321,240,166,281
96,83,62,465
246,207,33,157
468,495,423,629
187,130,105,630
471,214,368,268
275,219,199,235
228,165,44,203
489,391,441,638
414,283,160,331
364,160,414,195
365,290,156,385
392,293,230,317
297,254,172,246
291,257,235,238
273,276,208,237
229,405,225,674
435,481,332,724
286,255,192,253
360,488,375,665
415,353,329,410
229,141,154,197
248,182,181,176
307,275,241,312
278,222,156,256
242,51,67,172
239,192,156,200
293,208,128,413
398,169,345,600
251,184,117,100
280,273,242,375
294,251,220,387
210,157,150,116
275,282,149,626
331,206,275,259
309,201,204,315
320,203,47,190
241,145,125,74
523,381,447,381
80,15,46,263
286,155,66,7
257,166,155,80
383,272,234,236
140,343,235,618
333,238,194,353
223,124,173,256
409,234,354,278
319,262,200,274
220,189,93,173
292,233,192,245
351,306,260,278
312,235,98,231
259,1,242,84
309,289,322,208
222,198,158,238
450,290,349,291
272,152,116,209
274,214,100,194
260,178,167,241
209,194,84,10
241,157,53,220
276,271,297,345
82,123,149,577
492,329,414,408
129,112,8,152
330,272,206,314
167,213,43,395
169,146,147,353
198,119,110,96
312,271,235,291
481,293,356,303
246,97,88,316
254,184,135,179
307,250,213,252
286,226,154,206
93,93,53,439
445,100,415,195
152,167,93,430
444,416,362,758
263,165,157,230
149,56,18,235
312,283,179,243
131,180,130,262
331,285,282,288
227,190,127,198
435,230,360,256
171,134,104,109
246,215,57,715
318,253,210,282
231,163,111,98
104,29,66,512
234,214,67,250
429,370,454,551
334,294,240,345
149,130,58,182
247,238,124,123
156,96,91,251
257,204,178,207
438,485,385,685
443,399,405,568
208,145,4,33
287,262,197,252
285,214,229,626
272,116,164,205
266,151,198,36
186,122,83,113
300,121,139,203
453,401,415,633
289,240,79,245
316,275,259,299
371,82,295,243
315,168,153,101
169,72,57,362
351,222,221,190
247,207,115,301
285,178,194,262
310,442,351,650
268,249,191,334
247,190,55,228
342,292,190,262
217,32,75,264
351,340,296,320
488,273,456,167
491,174,447,150
204,16,44,146
293,142,316,175
333,271,137,334
276,226,154,224
211,201,143,250
305,185,195,89
252,214,112,53
